#Selection name: Selection 1
#Area (µm^2): 741180.83
Cell ID,Cluster,Transcripts,Area (µm^2)
gpfacnjc-1,Cluster 1,13,87.34
gnfiaabm-1,Cluster 7,52,198.62
glnnjmnb-1,Cluster 4,3,49.34
fjegdeok-1,Cluster 3,17,96.02
fjceaffc-1,Cluster 1,65,354.51
fjegcmpj-1,Cluster 1,25,92.85
fjbmacgo-1,Cluster 1,1,19.11
fjcddflp-1,Cluster 1,15,127.59
fjbmdckn-1,Cluster 1,54,268.78
fjcdgpja-1,Cluster 1,16,46.02
gloceele-1,Cluster 13,46,244.78
glodppag-1,Cluster 1,13,48.15
glodlnkk-1,Cluster 1,33,162.53
fjebhkdl-1,Cluster 1,23,131.30
gloamceb-1,Cluster 1,8,50.54
gloefcmp-1,Cluster 1,8,84.29
fjeignja-1,Cluster 1,31,114.64
gloaljem-1,Cluster 1,8,81.17
glofmkgm-1,Cluster 1,20,134.27
glnobeke-1,Cluster 1,19,126.25
glodpdom-1,Cluster 1,16,106.38
fjdmamih-1,Cluster 1,36,226.74
gloahbom-1,Cluster 1,56,225.45
glofagbo-1,Cluster 1,18,163.88
glnpopco-1,Cluster 1,20,145.56
glngedfo-1,Cluster 1,17,70.18
glngpgog-1,Cluster 11,9,65.42
glnfpncj-1,Cluster 1,21,126.84
glnhgmdk-1,Cluster 19,19,119.79
glofkkdd-1,Cluster 1,31,190.66
glohhgmc-1,Cluster 1,14,91.69
glnpblbe-1,Cluster 1,9,77.86
glogiodk-1,Cluster 1,60,434.99
gloaipbn-1,Cluster 1,34,238.59
glogbcgh-1,Cluster 1,28,210.47
glogghbd-1,Cluster 13,23,200.32
glnogdnh-1,Cluster 20,6,65.12
fjbnfgka-1,Cluster 19,12,53.05
glokmegm-1,Cluster 18,14,79.85
gllpjmlb-1,Cluster 1,7,83.21
gloimcpf-1,Cluster 19,11,76.10
glolbgnb-1,Cluster 1,48,218.67
glolbbba-1,Cluster 1,45,178.23
glokjfop-1,Cluster 19,8,66.51
glnogjff-1,Cluster 20,22,145.47
gloakeop-1,Cluster 1,16,129.60
gllokjmi-1,Cluster 1,17,111.14
glokcnph-1,Cluster 1,20,116.13
glonhgih-1,Cluster 1,14,106.61
glohpifj-1,Cluster 1,67,202.96
glmapcdl-1,Cluster 1,53,226.32
gloofcof-1,Cluster 20,10,39.74
glonknej-1,Cluster 1,32,183.91
glloedbh-1,Cluster 1,20,92.32
glmaicon-1,Cluster 13,25,129.07
glojacpl-1,Cluster 18,14,76.91
glomgbdo-1,Cluster 1,46,203.28
glpegmgf-1,Cluster 1,7,42.67
glpefekb-1,Cluster 18,46,237.92
glpgepge-1,Cluster 1,24,172.63
gllopppc-1,Cluster 1,36,260.49
glpghodp-1,Cluster 1,9,85.01
glojdihk-1,Cluster 1,18,89.36
gloodphl-1,Cluster 1,14,100.58
glologfb-1,Cluster 1,11,106.71
glpgnlmj-1,Cluster 1,28,134.79
glphojjf-1,Cluster 1,22,217.67
glpijdeb-1,Cluster 1,35,195.58
glpgoimb-1,Cluster 1,6,56.58
glmcinof-1,Cluster 1,60,327.06
glpgnocj-1,Cluster 1,33,154.48
glnnafkh-1,Cluster 4,6,89.93
gheakfoi-1,Cluster 1,6,54.68
glpealff-1,Cluster 1,13,139.73
gheafmmn-1,Cluster 13,71,264.45
glpeakkg-1,Cluster 1,17,119.47
glphopeh-1,Cluster 1,31,254.79
glmcgomj-1,Cluster 1,73,302.85
glpangdd-1,Cluster 20,31,153.56
glpahjpd-1,Cluster 18,32,84.86
glpjaoco-1,Cluster 4,9,84.69
glopnaak-1,Cluster 1,34,93.54
ghdpphib-1,Cluster 1,23,165.60
ghebdool-1,Cluster 1,68,281.13
glpdmkao-1,Cluster 1,29,323.01
glpkgiam-1,Cluster 1,29,136.94
ghealool-1,Cluster 1,21,52.37
glopcoie-1,Cluster 13,10,92.97
gloopcei-1,Cluster 1,29,169.11
glpcnajo-1,Cluster 1,9,113.73
glpcbecp-1,Cluster 20,8,74.04
glpaoeeg-1,Cluster 1,25,146.04
glopmdab-1,Cluster 18,37,186.91
glpbmbba-1,Cluster 20,2,65.92
glpjcmmh-1,Cluster 1,43,220.08
ghdofhmi-1,Cluster 1,77,409.12
ghgkhgco-1,Cluster 1,57,293.39
ghecglej-1,Cluster 1,15,101.06
glophlhk-1,Cluster 1,20,128.53
ghecobne-1,Cluster 1,43,312.28
ghglmgjf-1,Cluster 18,10,81.80
ghgkpgje-1,Cluster 1,22,137.81
ghglepnh-1,Cluster 18,35,137.41
glpbpafi-1,Cluster 1,82,464.44
ghgohpfa-1,Cluster 1,4,37.13
ghgpbode-1,Cluster 1,31,262.13
ghediacb-1,Cluster 1,12,71.85
gheddeng-1,Cluster 1,23,244.58
ghgipjkm-1,Cluster 1,30,209.12
ghgnicip-1,Cluster 1,10,75.82
gloohigi-1,Cluster 1,10,75.94
ghefpnna-1,Cluster 1,39,240.14
ghdmiicg-1,Cluster 1,32,220.69
ghmkfnpo-1,Cluster 1,79,424.71
ghgndbdb-1,Cluster 1,43,310.51
ghgjlgbf-1,Cluster 13,25,161.51
ghgokghg-1,Cluster 1,62,298.70
ghhabiak-1,Cluster 13,60,307.15
ghdmjeja-1,Cluster 13,31,229.58
ghhbjlcm-1,Cluster 18,43,153.45
ghefabif-1,Cluster 18,24,130.80
ghhabpjp-1,Cluster 13,23,155.65
ghgooifg-1,Cluster 1,46,304.31
gheeobbl-1,Cluster 19,9,106.02
ghehdkfl-1,Cluster 1,41,228.65
gmhomihm-1,Cluster 19,13,114.61
ghhcjiog-1,Cluster 1,44,180.49
ghedlmdc-1,Cluster 1,56,324.02
ghhckacj-1,Cluster 1,39,166.34
ghhamcek-1,Cluster 13,86,449.74
ghhadjlk-1,Cluster 19,14,84.68
ghdoccln-1,Cluster 13,69,227.37
ghdmfkbb-1,Cluster 1,18,148.96
ghekmdgg-1,Cluster 1,8,53.29
ghehdnkd-1,Cluster 13,26,123.83
ghhblgih-1,Cluster 13,73,315.59
ghegnbae-1,Cluster 13,36,184.09
ghdnhple-1,Cluster 13,32,155.18
gnapdbco-1,Cluster 1,23,86.95
dobihaii-1,Cluster 4,5,72.88
dmigepcj-1,Cluster 4,8,42.72
dnncceik-1,Cluster 4,16,65.38
dmichpjd-1,Cluster 20,7,28.19
dnmblhgg-1,Cluster 18,35,116.96
fjeblnpf-1,Cluster 1,24,128.36
dnmbkpon-1,Cluster 1,7,59.05
fjeapkjn-1,Cluster 1,35,228.09
dngnijob-1,Cluster 20,14,136.78
dngnmbfd-1,Cluster 1,4,115.74
dmfjigje-1,Cluster 4,6,51.13
dngnbgca-1,Cluster 1,20,155.66
fjdngcba-1,Cluster 1,35,142.95
dngnbmhf-1,Cluster 1,16,127.99
fjdmjjon-1,Cluster 1,17,119.27
fjdmppen-1,Cluster 19,7,51.30
dngnpikd-1,Cluster 20,6,56.43
dngnebna-1,Cluster 1,30,148.56
dngnhjil-1,Cluster 13,21,164.32
dnkopklp-1,Cluster 20,22,218.35
dnkpjnoc-1,Cluster 2,8,47.78
dnmadddm-1,Cluster 1,15,192.96
dnkpgjgg-1,Cluster 19,8,46.56
dnnbmcic-1,Cluster 4,13,118.09
dnlbkoig-1,Cluster 1,8,50.14
dnncbgei-1,Cluster 4,16,111.93
dmifihdl-1,Cluster 18,18,164.26
dnmojhbf-1,Cluster 4,13,106.04
dnmpmbpd-1,Cluster 4,5,18.32
dnnanomg-1,Cluster 4,15,69.76
dnnddkoh-1,Cluster 4,22,130.02
dmibphml-1,Cluster 1,20,100.75
dnmpdgii-1,Cluster 4,3,36.10
dnmpbfda-1,Cluster 4,7,75.23
dnkppdki-1,Cluster 1,25,182.57
dmifoeab-1,Cluster 4,8,74.40
dmidfgdc-1,Cluster 4,20,178.75
glnobdkc-1,Cluster 20,20,176.62
glnolbfi-1,Cluster 20,24,193.85
dmffnhmb-1,Cluster 4,6,103.41
dmfiljna-1,Cluster 4,30,179.32
dmfjefkk-1,Cluster 4,4,45.47
dmickofo-1,Cluster 1,23,108.44
glnoohod-1,Cluster 1,34,204.32
dmibmpma-1,Cluster 1,5,70.06
dmfjfaig-1,Cluster 20,12,121.15
dmfgpmcf-1,Cluster 4,5,89.79
dmfmkaof-1,Cluster 4,17,123.88
dmiehmfb-1,Cluster 4,5,38.29
dmiaofcd-1,Cluster 4,4,23.38
dmidlbie-1,Cluster 4,10,49.18
dmfglkec-1,Cluster 4,3,77.19
